company,fiscal_quarter,quarter_end_date,revenue_inr_cr,revenue_usd_mn,headcount,source_doc,source_url,rev_per_employee_inr_lakh,revenue_qoq_pct,headcount_qoq_pct,rev_per_emp_qoq_pct,fiscal_year
HCLTech,Q1 FY22,2021-06-30,20068,2720.0,176499,HCLTech Q1 FY22 Financial Results,https://www.hcltech.com/investors/results-reports,11.370036090856038,,,,FY22
HCLTech,Q2 FY22,2021-09-30,20655,2790.0,187634,HCLTech Q2 FY22 Financial Results,https://www.hcltech.com/investors/results-reports,11.008132854386732,2.925054813633654,6.308817613697526,-3.18295591656349,FY22
HCLTech,Q3 FY22,2021-12-31,22331,2977.0,197777,HCLTech Q3 FY22 Financial Results,https://www.hcltech.com/investors/results-reports,11.290999458986636,8.11425804889858,5.405736700171615,2.5696147415879222,FY22
HCLTech,Q4 FY22,2022-03-31,22597,2993.0,208877,HCLTech Q4 FY22 Financial Results,https://www.hcltech.com/investors/results-reports,10.818328489972568,1.1911692266356244,5.612381621725482,-4.186263321781169,FY22
HCLTech,Q1 FY23,2022-06-30,23464,3025.0,210966,HCLTech Q1 FY23 Financial Results,https://www.hcltech.com/investors/results-reports,11.122171345145663,3.8367924945789333,1.0001101126500211,2.8085933557547627,FY23
HCLTech,Q2 FY23,2022-09-30,24686,3082.0,219325,HCLTech Q2 FY23 Financial Results,https://www.hcltech.com/investors/results-reports,11.25544283597401,5.207978179338557,3.962249841206633,1.1982506535157311,FY23
HCLTech,Q3 FY23,2022-12-31,26700,3244.0,222270,HCLTech Q3 FY23 Financial Results,https://www.hcltech.com/investors/results-reports,12.01241733027399,8.158470388074202,1.3427561837455748,6.725408367590657,FY23
HCLTech,Q4 FY23,2023-03-31,26606,3235.0,225944,HCLTech Q4 FY23 Financial Results,https://www.hcltech.com/investors/results-reports,11.775484190772936,-0.3520599250936285,1.6529446169073703,-1.9724018320936176,FY23
HCLTech,Q1 FY24,2023-06-30,26296,3200.0,223438,HCLTech Q1 FY24 Financial Results,https://www.hcltech.com/investors/results-reports,11.768812825034237,-1.1651507178831788,-1.1091243848033172,-0.05665470421951646,FY24
HCLTech,Q2 FY24,2023-09-30,26672,3225.0,221139,HCLTech Q2 FY24 Financial Results,https://www.hcltech.com/investors/results-reports,12.061192281777524,1.4298752662001757,-1.0289207744430207,2.4843581174249563,FY24
HCLTech,Q3 FY24,2023-12-31,28446,3415.0,224756,HCLTech Q3 FY24 Financial Results,https://www.hcltech.com/investors/results-reports,12.65639182046308,6.651169766046783,1.635622843550899,4.934831688114327,FY24
HCLTech,Q4 FY24,2024-03-31,28499,3430.0,227481,HCLTech Q4 FY24 Financial Results,https://www.hcltech.com/investors/results-reports,12.52807926815866,0.18631793573788968,1.2124259196639953,-1.013816213377361,FY24
HCLTech,Q1 FY25,2024-06-30,28057,3364.0,219401,HCLTech Q1 FY25 Financial Results,https://www.hcltech.com/investors/results-reports,12.788000054694372,-1.5509316116354976,-3.551944997604195,2.074705794657028,FY25
HCLTech,Q2 FY25,2024-09-30,28862,3445.0,218621,HCLTech Q2 FY25 Financial Results,https://www.hcltech.com/investors/results-reports,13.201842457952347,2.8691592116049547,-0.3555134206316257,3.23617767819806,FY25
HCLTech,Q3 FY25,2024-12-31,29890,3533.0,220755,HCLTech Q3 FY25 Financial Results,https://www.hcltech.com/investors/results-reports,13.539897171072003,3.561776730649302,0.9761184881598828,2.560663136197494,FY25
HCLTech,Q4 FY25,2025-03-31,30246,3498.0,223420,HCLTech Q4 FY25 Financial Results,https://www.hcltech.com/investors/results-reports,13.537731626532986,1.191033790565399,1.2072206745034064,-0.0159938034362872,FY25
Infosys,Q1 FY22,2021-06-30,27896,3782.0,267953,Infosys Fact Sheet Q1 FY22,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.410780995174527,,,,FY22
Infosys,Q2 FY22,2021-09-30,29602,3998.0,279617,Infosys Fact Sheet Q2 FY22,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.586623846189608,6.11557212503584,4.353002205610679,1.6890457218971866,FY22
Infosys,Q3 FY22,2021-12-31,31867,4250.0,292067,Infosys Fact Sheet Q3 FY22,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.910852646824187,7.651510033105868,4.452518981320885,3.0626270031429925,FY22
Infosys,Q4 FY22,2022-03-31,32276,4280.0,314015,Infosys Fact Sheet Q4 FY22,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.278489881056638,1.283459378039975,7.514714089575336,-5.795722719723562,FY22
Infosys,Q1 FY23,2022-06-30,34470,4444.0,335186,Infosys Fact Sheet Q1 FY23,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.283842403919017,6.797620522989223,6.742034616180748,0.052074992769557404,FY23
Infosys,Q2 FY23,2022-09-30,36538,4555.0,345218,Infosys Fact Sheet Q2 FY23,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.584036753587588,5.99941978532057,2.992965099974332,2.9190874176968196,FY23
Infosys,Q3 FY23,2022-12-31,38318,4659.0,346845,Infosys Fact Sheet Q3 FY23,https://www.infosys.com/investors/reports-filings/quarterly-results.html,11.047586097536364,4.871640483879802,0.47129639821794633,4.379702704562605,FY23
Infosys,Q4 FY23,2023-03-31,37441,4554.0,343234,Infosys Fact Sheet Q4 FY23,https://www.infosys.com/investors/reports-filings/quarterly-results.html,10.908301625130377,-2.2887415835899594,-1.041099050007932,-1.260768381221733,FY23
Infosys,Q1 FY24,2023-06-30,37933,4617.0,336294,Infosys Fact Sheet Q1 FY24,https://www.infosys.com/investors/reports-filings/quarterly-results.html,11.279713583947379,1.3140674661467289,-2.0219442129858933,3.4048559673244494,FY24
Infosys,Q2 FY24,2023-09-30,38994,4718.0,328764,Infosys Fact Sheet Q2 FY24,https://www.infosys.com/investors/reports-filings/quarterly-results.html,11.860787677482936,2.797036880816184,-2.2391122053917134,5.151496881645179,FY24
Infosys,Q3 FY24,2023-12-31,38821,4663.0,322663,Infosys Fact Sheet Q3 FY24,https://www.infosys.com/investors/reports-filings/quarterly-results.html,12.031438373783173,-0.44365799866645794,-1.8557384628487328,1.4387804666987636,FY24
Infosys,Q4 FY24,2024-03-31,37923,4564.0,317240,Infosys Fact Sheet Q4 FY24,https://www.infosys.com/investors/reports-filings/quarterly-results.html,11.954041104526542,-2.3131810102779427,-1.6807009170558773,-0.6432919061887143,FY24
Infosys,Q1 FY25,2024-06-30,39315,4714.0,315332,Infosys Fact Sheet Q1 FY25,https://www.infosys.com/investors/reports-filings/quarterly-results.html,12.467811703220733,3.6705956807214557,-0.6014373975539056,4.297882148821164,FY25
Infosys,Q2 FY25,2024-09-30,40986,4894.0,317788,Infosys Fact Sheet Q2 FY25,https://www.infosys.com/investors/reports-filings/quarterly-results.html,12.89727743023651,4.250286150324301,0.7788616442352847,3.4445958700582313,FY25
Infosys,Q3 FY25,2024-12-31,41764,4939.0,323379,Infosys Fact Sheet Q3 FY25,https://www.infosys.com/investors/reports-filings/quarterly-results.html,12.91487697098451,1.8982091445859606,1.7593489999622403,0.13645934844155327,FY25
Infosys,Q4 FY25,2025-03-31,40925,4730.0,323578,Infosys Fact Sheet Q4 FY25,https://www.infosys.com/investors/reports-filings/quarterly-results.html,12.647646008072241,-2.0089071927976265,0.06153770034540429,-2.0691715725410953,FY25
TCS,Q1 FY22,2021-06-30,45411,6154.0,509058,TCS Press Release Q1 FY22,https://www.tcs.com/investor-relations,8.920594509859388,,,,FY22
TCS,Q2 FY22,2021-09-30,46867,6333.0,528748,TCS Press Release Q2 FY22,https://www.tcs.com/investor-relations,8.86376875184398,3.2062716082006615,3.8679286053848516,-0.6370176107949099,FY22
TCS,Q3 FY22,2021-12-31,48885,6524.0,556986,TCS Press Release Q3 FY22,https://www.tcs.com/investor-relations,8.776701748338379,4.305801523460007,5.340540295187868,-0.9822797270911177,FY22
TCS,Q4 FY22,2022-03-31,50591,6696.0,592195,TCS Press Release Q4 FY22,https://www.tcs.com/investor-relations,8.542963044267513,3.4898230541065667,6.321343803973534,-2.663172462424379,FY22
TCS,Q1 FY23,2022-06-30,52758,6780.0,606331,TCS Press Release Q1 FY23,https://www.tcs.com/investor-relations,8.70118796498942,4.283370559981026,2.3870515624076605,1.8521082193850846,FY23
TCS,Q2 FY23,2022-09-30,55309,6877.0,616171,TCS Press Release Q2 FY23,https://www.tcs.com/investor-relations,8.976241984773708,4.835285643883402,1.6228759538931659,3.1611088151527023,FY23
TCS,Q3 FY23,2022-12-31,58229,7075.0,613974,TCS Press Release Q3 FY23,https://www.tcs.com/investor-relations,9.483952089176414,5.279430110831873,-0.3565568648962736,5.656154382467959,FY23
TCS,Q4 FY23,2023-03-31,59162,7195.0,614795,TCS Press Release Q4 FY23,https://www.tcs.com/investor-relations,9.623045080067339,1.6022943893936104,0.13371901741767722,1.46661422983847,FY23
TCS,Q1 FY24,2023-06-30,59381,7226.0,615318,TCS Press Release Q1 FY24,https://www.tcs.com/investor-relations,9.650457161987784,0.37017004158075295,0.08506900674207785,0.2848587083648324,FY24
TCS,Q2 FY24,2023-09-30,59692,7210.0,608985,TCS Press Release Q2 FY24,https://www.tcs.com/investor-relations,9.801883461825826,0.5237365487277046,-1.0292239134886305,1.5691101187878864,FY24
TCS,Q3 FY24,2023-12-31,60583,7281.0,603305,TCS Press Release Q3 FY24,https://www.tcs.com/investor-relations,10.041852794191993,1.4926623333110012,-0.9326994917773002,2.4481961380253603,FY24
TCS,Q4 FY24,2024-03-31,61237,7363.0,601546,TCS Press Release Q4 FY24,https://www.tcs.com/investor-relations,10.17993636396884,1.079510753841828,-0.29156065340084636,1.3750806012284178,FY24
TCS,Q1 FY25,2024-06-30,62613,7505.0,606998,TCS Press Release Q1 FY25,https://www.tcs.com/investor-relations,10.315190494861598,2.2470075281284085,0.9063313528807404,1.3286343456082816,FY25
TCS,Q2 FY25,2024-09-30,64259,7670.0,612724,TCS Press Release Q2 FY25,https://www.tcs.com/investor-relations,10.487429903186426,2.6288470445434697,0.9433309500195941,1.6697646874347827,FY25
TCS,Q3 FY25,2024-12-31,63973,7539.0,607354,TCS Press Release Q3 FY25,https://www.tcs.com/investor-relations,10.533066383031972,-0.4450738417964839,-0.8764141766929301,0.43515408700542935,FY25
TCS,Q4 FY25,2025-03-31,64479,7465.0,607979,TCS Press Release Q4 FY25,https://www.tcs.com/investor-relations,10.605464991389505,0.7909586856955197,0.10290538960804341,0.6873459800287751,FY25
Tech Mahindra,Q1 FY22,2021-06-30,10198,1383.6,126263,Tech Mahindra Q1 FY22 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.076792092695406,,,,FY22
Tech Mahindra,Q2 FY22,2021-09-30,10881,1472.6,141193,Tech Mahindra Q2 FY22 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,7.706472700487985,6.6973916454206694,11.824524999406005,-4.584981115736975,FY22
Tech Mahindra,Q3 FY22,2021-12-31,11451,1533.5,145067,Tech Mahindra Q3 FY22 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,7.893593994499094,5.238489109456856,2.743762084522605,2.4281055845336352,FY22
Tech Mahindra,Q4 FY22,2022-03-31,12116,1608.1,151173,Tech Mahindra Q4 FY22 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.014658702281492,5.807353069600918,4.2090895930845695,1.533708319262006,FY22
Tech Mahindra,Q1 FY23,2022-06-30,12708,1632.0,158035,Tech Mahindra Q1 FY23 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.041256683646028,4.88610102344007,4.539170354494515,0.331866675208059,FY23
Tech Mahindra,Q2 FY23,2022-09-30,13129,1638.0,163912,Tech Mahindra Q2 FY23 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.009785738689052,3.3128737802958774,3.718796469136576,-0.3913684912083437,FY23
Tech Mahindra,Q3 FY23,2022-12-31,13735,1668.0,157068,Tech Mahindra Q3 FY23 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.744620164514732,4.615736156599892,-4.175411196251644,9.174208272217133,FY23
Tech Mahindra,Q4 FY23,2023-03-31,13718,1668.0,152400,Tech Mahindra Q4 FY23 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,9.001312335958005,-0.12377138696759715,-2.9719611887844777,2.935429631179609,FY23
Tech Mahindra,Q1 FY24,2023-06-30,13159,1601.0,148297,Tech Mahindra Q1 FY24 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.873409441863288,-4.074938037614817,-2.692257217847771,-1.420936073774226,FY24
Tech Mahindra,Q2 FY24,2023-09-30,12864,1555.0,150604,Tech Mahindra Q2 FY24 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.541605800642746,-2.241811687818218,1.5556619486570833,-3.739302726809235,FY24
Tech Mahindra,Q3 FY24,2023-12-31,13101,1573.0,146250,Tech Mahindra Q3 FY24 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.957948717948717,1.8423507462686617,-2.891025470771025,4.874293277203723,FY24
Tech Mahindra,Q4 FY24,2024-03-31,12871,1548.0,145455,Tech Mahindra Q4 FY24 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.848784847547352,-1.7555911762460852,-0.5435897435897452,-1.2186257572856851,FY24
Tech Mahindra,Q1 FY25,2024-06-30,13005,1559.0,147620,Tech Mahindra Q1 FY25 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.809781872375018,1.0411001476186676,1.4884328486473475,-0.4407721042414603,FY25
Tech Mahindra,Q2 FY25,2024-09-30,13313,1589.0,154273,Tech Mahindra Q2 FY25 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.62950743163094,2.368319876970393,4.506841891342628,-2.0462985730596572,FY25
Tech Mahindra,Q3 FY25,2024-12-31,13286,1567.0,150488,Tech Mahindra Q3 FY25 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.828610919143054,-0.2028092841583451,-2.4534429226112153,2.307240466382976,FY25
Tech Mahindra,Q4 FY25,2025-03-31,13384,1549.0,148731,Tech Mahindra Q4 FY25 Press Release,https://www.techmahindra.com/en-in/investors/financial-results/,8.998796484929168,0.7376185458377149,-1.1675349529530643,1.927659598375775,FY25
Wipro,Q1 FY22,2021-06-30,18250,2414.5,209890,Wipro Q1 FY22 Press Release,https://www.wipro.com/newsroom/press-releases/2021/wipro-reports-results-for-the-quarter-ended-june-30-2021/,8.695030730382582,,,,FY22
Wipro,Q2 FY22,2021-09-30,19670,2580.0,221365,Wipro Q2 FY22 Press Release,https://www.wipro.com/newsroom/press-releases/2021/wipro-reports-results-for-the-quarter-ended-september-30-2021/,8.885776884331309,7.780821917808223,5.467149459240561,2.1937375480711285,FY22
Wipro,Q3 FY22,2021-12-31,20310,2639.7,231671,Wipro Q3 FY22 Press Release,https://www.wipro.com/newsroom/press-releases/2022/wipro-reports-results-for-the-quarter-ended-december-31-2021/,8.76674249258647,3.253685815963392,4.655659205384777,-1.3396059038432218,FY22
Wipro,Q4 FY22,2022-03-31,20860,2721.7,243128,Wipro Q4 FY22 Press Release,https://www.wipro.com/newsroom/press-releases/2022/wipro-reports-results-for-the-quarter-ended-march-31-2022/,8.579842716593728,2.708025603151154,4.945375122479723,-2.131918168587621,FY22
Wipro,Q1 FY23,2022-06-30,21530,2735.5,258574,Wipro Q1 FY23 Press Release,https://www.wipro.com/newsroom/press-releases/2022/wipro-reports-results-for-the-quarter-ended-june-30-2022/,8.326436532675366,3.211888782358585,6.353032147675308,-2.953506168921538,FY23
Wipro,Q2 FY23,2022-09-30,22540,2797.7,259179,Wipro Q2 FY23 Press Release,https://www.wipro.com/newsroom/press-releases/2022/wipro-reports-results-for-the-quarter-ended-september-30-2022/,8.696692247442886,4.691128657686949,0.23397557372357713,4.446748777998,FY23
