quarter_end_date,total_revenue_usd_mn,revenue_index_usd,total_headcount,headcount_index,rev_per_employee_usd,rpe_index_usd
2021-06-30,16454.1,100.0,1289663,100.0,12758.44930032109,100.0
2021-09-30,17173.6,104.37277031256646,1358557,105.34201570487794,12641.059594849534,99.07990616486126
2021-12-31,17924.2,108.93455126685751,1423568,110.38294500191135,12591.038854483944,98.68784644672348
2022-03-31,18298.8,111.21118748518606,1509388,117.03739659120251,12123.324155220527,95.02192523440463
2022-06-30,18616.5,113.14201323682245,1569092,121.66682303826659,11864.505076821499,92.99331601782441
2022-09-30,18949.7,115.1670404336913,1603805,124.35845643396763,11815.463850031643,92.608933671385
2022-12-31,19449.5,118.2045812289946,1598901,123.9782020574367,12164.292848650417,95.34303552348075
2023-03-31,19475.0,118.35955780018355,1593294,123.54343731657029,12223.105089205132,95.80400252009869
2023-06-30,19422.5,118.0404883889122,1573105,121.97798959883319,12346.601148683654,96.77195761065516
2023-09-30,19421.3,118.03319537379741,1554199,120.51202523449925,12496.018849581038,97.94308505240173
2023-12-31,19588.1,119.04692447475098,1537208,119.19454927372499,12742.647709353581,99.87614802868629
2024-03-31,19562.4,118.89073240104292,1525776,118.30811615127364,12821.279139270771,100.49245670434337
2024-06-30,19767.9,120.13966123944795,1523742,118.15040053099143,12973.259252550628,101.68366818861077
2024-09-30,20258.1,123.11885791383304,1537295,119.20129522208515,13177.757034271237,103.28651017126033
2024-12-31,20207.1,122.80890477145515,1534708,119.00070018291599,13166.739210325351,103.2001530937932
2025-03-31,19838.5,120.56873362870047,1537054,119.18260816973117,12906.833461934324,101.16302661961826
